Date,Vegetable,Noida Price
18-10-2022,Onion Big,21
19-10-2022,Onion Big,21
20-10-2022,Onion Big,21
21-10-2022,Onion Big,21
22-10-2022,Onion Big,21
23-10-2022,Onion Big,21
24-10-2022,Onion Big,24
25-10-2022,Onion Big,24
26-10-2022,Onion Big,24
27-10-2022,Onion Big,23
28-10-2022,Onion Big,23
29-10-2022,Onion Big,24
30-10-2022,Onion Big,24
31-10-2022,Onion Big,24
01-11-2022,Onion Big,24
02-11-2022,Onion Big,24
03-11-2022,Onion Big,37
04-11-2022,Onion Big,37
05-11-2022,Onion Big,37
06-11-2022,Onion Big,35
07-11-2022,Onion Big,35
08-11-2022,Onion Big,35
09-11-2022,Onion Big,40
10-11-2022,Onion Big,40
11-11-2022,Onion Big,40
12-11-2022,Onion Big,42
13-11-2022,Onion Big,42
14-11-2022,Onion Big,42
15-11-2022,Onion Big,42
16-11-2022,Onion Big,42
17-11-2022,Onion Big,42
18-11-2022,Onion Big,33
19-11-2022,Onion Big,33
20-11-2022,Onion Big,33
21-11-2022,Onion Big,33
22-11-2022,Onion Big,33
23-11-2022,Onion Big,33
24-11-2022,Onion Big,38
25-11-2022,Onion Big,38
26-11-2022,Onion Big,39
27-11-2022,Onion Big,39
28-11-2022,Onion Big,29
29-11-2022,Onion Big,29
30-11-2022,Onion Big,28
01-12-2022,Onion Big,28
02-12-2022,Onion Big,28
03-12-2022,Onion Big,30
04-12-2022,Onion Big,30
05-12-2022,Onion Big,30
06-12-2022,Onion Big,30
07-12-2022,Onion Big,25
08-12-2022,Onion Big,25
09-12-2022,Onion Big,25
10-12-2022,Onion Big,28
11-12-2022,Onion Big,28
12-12-2022,Onion Big,28
13-12-2022,Onion Big,28
14-12-2022,Onion Big,29
15-12-2022,Onion Big,29
16-12-2022,Onion Big,29
17-12-2022,Onion Big,29
18-12-2022,Onion Big,29
19-12-2022,Onion Big,29
20-12-2022,Onion Big,29
21-12-2022,Onion Big,29
22-12-2022,Onion Big,28
23-12-2022,Onion Big,28
24-12-2022,Onion Big,25
25-12-2022,Onion Big,25
26-12-2022,Onion Big,25
27-12-2022,Onion Big,27
28-12-2022,Onion Big,27
29-12-2022,Onion Big,30
30-12-2022,Onion Big,30
31-12-2022,Onion Big,30
01-01-2023,Onion Big,30
02-01-2023,Onion Big,27
03-01-2023,Onion Big,27
04-01-2023,Onion Big,25
05-01-2023,Onion Big,25
06-01-2023,Onion Big,25
07-01-2023,Onion Big,25
08-01-2023,Onion Big,26
09-01-2023,Onion Big,26
10-01-2023,Onion Big,26
11-01-2023,Onion Big,25
12-01-2023,Onion Big,25
13-01-2023,Onion Big,25
14-01-2023,Onion Big,26
15-01-2023,Onion Big,26
16-01-2023,Onion Big,26
17-01-2023,Onion Big,26
18-01-2023,Onion Big,25
19-01-2023,Onion Big,25
20-01-2023,Onion Big,24
21-01-2023,Onion Big,28
22-01-2023,Onion Big,28
23-01-2023,Onion Big,28
24-01-2023,Onion Big,28
25-01-2023,Onion Big,29
26-01-2023,Onion Big,29
27-01-2023,Onion Big,29
28-01-2023,Onion Big,30
29-01-2023,Onion Big,30
30-01-2023,Onion Big,30
31-01-2023,Onion Big,25
01-02-2023,Onion Big,25
02-02-2023,Onion Big,25
03-02-2023,Onion Big,23
04-02-2023,Onion Big,23
05-02-2023,Onion Big,23
06-02-2023,Onion Big,24
07-02-2023,Onion Big,24
08-02-2023,Onion Big,24
09-02-2023,Onion Big,24
10-02-2023,Onion Big,24
11-02-2023,Onion Big,24
12-02-2023,Onion Big,26
13-02-2023,Onion Big,26
14-02-2023,Onion Big,26
15-02-2023,Onion Big,26
16-02-2023,Onion Big,25
17-02-2023,Onion Big,25
18-02-2023,Onion Big,25
19-02-2023,Onion Big,23
20-02-2023,Onion Big,23
21-02-2023,Onion Big,23
22-02-2023,Onion Big,23
23-02-2023,Onion Big,22
24-02-2023,Onion Big,22
25-02-2023,Onion Big,24
26-02-2023,Onion Big,24
27-02-2023,Onion Big,24
28-02-2023,Onion Big,17
01-03-2023,Onion Big,17
02-03-2023,Onion Big,17
03-03-2023,Onion Big,17
04-03-2023,Onion Big,22
05-03-2023,Onion Big,22
06-03-2023,Onion Big,22
07-03-2023,Onion Big,22
08-03-2023,Onion Big,22
09-03-2023,Onion Big,22
10-03-2023,Onion Big,22
11-03-2023,Onion Big,22
12-03-2023,Onion Big,22
13-03-2023,Onion Big,22
14-03-2023,Onion Big,19
15-03-2023,Onion Big,19
16-03-2023,Onion Big,19
17-03-2023,Onion Big,17
18-03-2023,Onion Big,17
19-03-2023,Onion Big,18
20-03-2023,Onion Big,18
21-03-2023,Onion Big,18
22-03-2023,Onion Big,18
23-03-2023,Onion Big,18
24-03-2023,Onion Big,20
25-03-2023,Onion Big,20
26-03-2023,Onion Big,22
27-03-2023,Onion Big,22
28-03-2023,Onion Big,22
29-03-2023,Onion Big,18
30-03-2023,Onion Big,18
31-03-2023,Onion Big,18
01-02-2022,Onion Small,61
02-02-2022,Onion Small,65
03-02-2022,Onion Small,65
04-02-2022,Onion Small,65
05-02-2022,Onion Small,62
06-02-2022,Onion Small,62
07-02-2022,Onion Small,62
08-02-2022,Onion Small,63
09-02-2022,Onion Small,63
10-02-2022,Onion Small,63
11-02-2022,Onion Small,63
12-02-2022,Onion Small,64
13-02-2022,Onion Small,64
14-02-2022,Onion Small,65
15-02-2022,Onion Small,65
16-02-2022,Onion Small,65
17-02-2022,Onion Small,62
18-02-2022,Onion Small,62
19-02-2022,Onion Small,62
20-02-2022,Onion Small,64
21-02-2022,Onion Small,64
22-02-2022,Onion Small,64
23-02-2022,Onion Small,64
24-02-2022,Onion Small,64
25-02-2022,Onion Small,64
26-02-2022,Onion Small,62
27-02-2022,Onion Small,62
28-02-2022,Onion Small,58
01-03-2022,Onion Small,58
02-03-2022,Onion Small,58
03-03-2022,Onion Small,58
04-03-2022,Onion Small,36
05-03-2022,Onion Small,36
06-03-2022,Onion Small,36
07-03-2022,Onion Small,38
08-03-2022,Onion Small,38
09-03-2022,Onion Small,37
10-03-2022,Onion Small,37
11-03-2022,Onion Small,37
12-03-2022,Onion Small,37
13-03-2022,Onion Small,37
14-03-2022,Onion Small,35
15-03-2022,Onion Small,35
16-03-2022,Onion Small,35
17-03-2022,Onion Small,36
18-03-2022,Onion Small,36
19-03-2022,Onion Small,36
20-03-2022,Onion Small,36
21-03-2022,Onion Small,36
22-03-2022,Onion Small,40
23-03-2022,Onion Small,40
24-03-2022,Onion Small,40
25-03-2022,Onion Small,39
26-03-2022,Onion Small,39
27-03-2022,Onion Small,39
28-03-2022,Onion Small,33
29-03-2022,Onion Small,33
30-03-2022,Onion Small,33
31-03-2022,Onion Small,33
01-04-2022,Onion Small,31
02-04-2022,Onion Small,31
03-04-2022,Onion Small,31
04-04-2022,Onion Small,30
05-04-2022,Onion Small,30
06-04-2022,Onion Small,30
07-04-2022,Onion Small,33
08-04-2022,Onion Small,33
09-04-2022,Onion Small,33
10-04-2022,Onion Small,27
11-04-2022,Onion Small,27
12-04-2022,Onion Small,27
13-04-2022,Onion Small,31
14-04-2022,Onion Small,31
15-04-2022,Onion Small,31
16-04-2022,Onion Small,31
17-04-2022,Onion Small,30
18-04-2022,Onion Small,30
19-04-2022,Onion Small,30
20-04-2022,Onion Small,30
21-04-2022,Onion Small,30
22-04-2022,Onion Small,30
23-04-2022,Onion Small,30
24-04-2022,Onion Small,27
25-04-2022,Onion Small,27
26-04-2022,Onion Small,27
27-04-2022,Onion Small,28
28-04-2022,Onion Small,28
29-04-2022,Onion Small,28
30-04-2022,Onion Small,27
01-05-2022,Onion Small,27
02-05-2022,Onion Small,24
03-05-2022,Onion Small,24
04-05-2022,Onion Small,24
05-05-2022,Onion Small,29
06-05-2022,Onion Small,29
07-05-2022,Onion Small,29
08-05-2022,Onion Small,25
09-05-2022,Onion Small,25
10-05-2022,Onion Small,25
11-05-2022,Onion Small,26
12-05-2022,Onion Small,26
13-05-2022,Onion Small,26
14-05-2022,Onion Small,26
15-05-2022,Onion Small,28
16-05-2022,Onion Small,28
17-05-2022,Onion Small,28
18-05-2022,Onion Small,29
19-05-2022,Onion Small,29
20-05-2022,Onion Small,29
21-05-2022,Onion Small,27
22-05-2022,Onion Small,27
23-05-2022,Onion Small,27
24-05-2022,Onion Small,27
25-05-2022,Onion Small,30
26-05-2022,Onion Small,30
27-05-2022,Onion Small,30
28-05-2022,Onion Small,27
29-05-2022,Onion Small,27
30-05-2022,Onion Small,27
31-05-2022,Onion Small,27
01-06-2022,Onion Small,26
02-06-2022,Onion Small,26
03-06-2022,Onion Small,26
04-06-2022,Onion Small,29
05-06-2022,Onion Small,29
06-06-2022,Onion Small,29
07-06-2022,Onion Small,28
08-06-2022,Onion Small,28
09-06-2022,Onion Small,28
10-06-2022,Onion Small,28
11-06-2022,Onion Small,29
12-06-2022,Onion Small,29
13-06-2022,Onion Small,29
14-06-2022,Onion Small,28
15-06-2022,Onion Small,28
16-06-2022,Onion Small,28
17-06-2022,Onion Small,28
18-06-2022,Onion Small,29
19-06-2022,Onion Small,29
20-06-2022,Onion Small,35
21-06-2022,Onion Small,35
22-06-2022,Onion Small,35
23-06-2022,Onion Small,38
24-06-2022,Onion Small,38
25-06-2022,Onion Small,38
26-06-2022,Onion Small,38
27-06-2022,Onion Small,32
28-06-2022,Onion Small,32
29-06-2022,Onion Small,32
30-06-2022,Onion Small,32
01-07-2022,Onion Small,34
02-07-2022,Onion Small,34
03-07-2022,Onion Small,34
04-07-2022,Onion Small,36
05-07-2022,Onion Small,36
06-07-2022,Onion Small,36
07-07-2022,Onion Small,36
08-07-2022,Onion Small,36
09-07-2022,Onion Small,35
10-07-2022,Onion Small,35
11-07-2022,Onion Small,35
12-07-2022,Onion Small,34
13-07-2022,Onion Small,34
14-07-2022,Onion Small,31
15-07-2022,Onion Small,31
16-07-2022,Onion Small,31
17-07-2022,Onion Small,37
18-07-2022,Onion Small,37
19-07-2022,Onion Small,37
20-07-2022,Onion Small,37
21-07-2022,Onion Small,30
22-07-2022,Onion Small,30
23-07-2022,Onion Small,30
24-07-2022,Onion Small,32
25-07-2022,Onion Small,32
26-07-2022,Onion Small,32
27-07-2022,Onion Small,32
28-07-2022,Onion Small,32
29-07-2022,Onion Small,32
30-07-2022,Onion Small,32
31-07-2022,Onion Small,36
01-08-2022,Onion Small,35
02-08-2022,Onion Small,35
03-08-2022,Onion Small,35
04-08-2022,Onion Small,38
05-08-2022,Onion Small,38
06-08-2022,Onion Small,38
07-08-2022,Onion Small,38
08-08-2022,Onion Small,29
09-08-2022,Onion Small,29
10-08-2022,Onion Small,29
11-08-2022,Onion Small,29
12-08-2022,Onion Small,29
13-08-2022,Onion Small,28
14-08-2022,Onion Small,28
15-08-2022,Onion Small,28
16-08-2022,Onion Small,28
17-08-2022,Onion Small,28
18-08-2022,Onion Small,27
19-08-2022,Onion Small,27
20-08-2022,Onion Small,27
21-08-2022,Onion Small,27
22-08-2022,Onion Small,27
23-08-2022,Onion Small,27
24-08-2022,Onion Small,32
25-08-2022,Onion Small,32
26-08-2022,Onion Small,30
27-08-2022,Onion Small,30
28-08-2022,Onion Small,30
29-08-2022,Onion Small,30
30-08-2022,Onion Small,31
31-08-2022,Onion Small,31
01-09-2022,Onion Small,28
02-09-2022,Onion Small,28
03-09-2022,Onion Small,28
04-09-2022,Onion Small,28
05-09-2022,Onion Small,28
06-09-2022,Onion Small,28
07-09-2022,Onion Small,28
08-09-2022,Onion Small,28
09-09-2022,Onion Small,28
10-09-2022,Onion Small,26
11-09-2022,Onion Small,27
12-09-2022,Onion Small,27
13-09-2022,Onion Small,27
14-09-2022,Onion Small,27
15-09-2022,Onion Small,27
16-09-2022,Onion Small,23
17-09-2022,Onion Small,23
18-09-2022,Onion Small,23
19-09-2022,Onion Small,24
20-09-2022,Onion Small,24
21-09-2022,Onion Small,24
22-09-2022,Onion Small,29
23-09-2022,Onion Small,29
24-09-2022,Onion Small,29
25-09-2022,Onion Small,27
26-09-2022,Onion Small,27
27-09-2022,Onion Small,27
28-09-2022,Onion Small,26
29-09-2022,Onion Small,26
30-09-2022,Onion Small,27
01-10-2022,Onion Small,27
02-10-2022,Onion Small,27
03-10-2022,Onion Small,28
04-10-2022,Onion Small,28
05-10-2022,Onion Small,28
06-10-2022,Onion Small,31
07-10-2022,Onion Small,31
08-10-2022,Onion Small,26
09-10-2022,Onion Small,26
10-10-2022,Onion Small,26
11-10-2022,Onion Small,26
12-10-2022,Onion Small,30
13-10-2022,Onion Small,30
14-10-2022,Onion Small,30
15-10-2022,Onion Small,27
16-10-2022,Onion Small,27
17-10-2022,Onion Small,27
18-10-2022,Onion Small,26
19-10-2022,Onion Small,26
20-10-2022,Onion Small,26
21-10-2022,Onion Small,26
22-10-2022,Onion Small,26
23-10-2022,Onion Small,26
24-10-2022,Onion Small,25
25-10-2022,Onion Small,25
26-10-2022,Onion Small,25
27-10-2022,Onion Small,28
28-10-2022,Onion Small,28
29-10-2022,Onion Small,23
30-10-2022,Onion Small,23
31-10-2022,Onion Small,23
01-11-2022,Onion Small,23
02-11-2022,Onion Small,23
03-11-2022,Onion Small,31
04-11-2022,Onion Small,31
05-11-2022,Onion Small,31
06-11-2022,Onion Small,30
07-11-2022,Onion Small,30
08-11-2022,Onion Small,30
09-11-2022,Onion Small,58
10-11-2022,Onion Small,58
11-11-2022,Onion Small,58
12-11-2022,Onion Small,57
13-11-2022,Onion Small,57
14-11-2022,Onion Small,57
15-11-2022,Onion Small,57
16-11-2022,Onion Small,57
17-11-2022,Onion Small,57
18-11-2022,Onion Small,58
19-11-2022,Onion Small,58
20-11-2022,Onion Small,58
21-11-2022,Onion Small,56
22-11-2022,Onion Small,56
23-11-2022,Onion Small,65
24-11-2022,Onion Small,65
25-11-2022,Onion Small,65
26-11-2022,Onion Small,88
27-11-2022,Onion Small,88
28-11-2022,Onion Small,82
29-11-2022,Onion Small,82
30-11-2022,Onion Small,82
01-12-2022,Onion Small,82
02-12-2022,Onion Small,82
03-12-2022,Onion Small,82
04-12-2022,Onion Small,82
05-12-2022,Onion Small,82
06-12-2022,Onion Small,82
07-12-2022,Onion Small,79
08-12-2022,Onion Small,79
09-12-2022,Onion Small,79
10-12-2022,Onion Small,85
11-12-2022,Onion Small,85
12-12-2022,Onion Small,85
13-12-2022,Onion Small,32
14-12-2022,Onion Small,29
15-12-2022,Onion Small,29
16-12-2022,Onion Small,29
17-12-2022,Onion Small,29
18-12-2022,Onion Small,33
19-12-2022,Onion Small,33
20-12-2022,Onion Small,33
21-12-2022,Onion Small,33
22-12-2022,Onion Small,32
23-12-2022,Onion Small,32
24-12-2022,Onion Small,34
25-12-2022,Onion Small,34
26-12-2022,Onion Small,34
27-12-2022,Onion Small,28
28-12-2022,Onion Small,28
29-12-2022,Onion Small,27
30-12-2022,Onion Small,27
31-12-2022,Onion Small,27
01-01-2023,Onion Small,27
02-01-2023,Onion Small,38
03-01-2023,Onion Small,38
04-01-2023,Onion Small,39
05-01-2023,Onion Small,39
06-01-2023,Onion Small,39
07-01-2023,Onion Small,39
08-01-2023,Onion Small,36
09-01-2023,Onion Small,36
10-01-2023,Onion Small,36
11-01-2023,Onion Small,35
12-01-2023,Onion Small,35
13-01-2023,Onion Small,35
14-01-2023,Onion Small,31
15-01-2023,Onion Small,31
16-01-2023,Onion Small,31
17-01-2023,Onion Small,31
18-01-2023,Onion Small,30
19-01-2023,Onion Small,30
20-01-2023,Onion Small,34
21-01-2023,Onion Small,32
22-01-2023,Onion Small,32
23-01-2023,Onion Small,32
24-01-2023,Onion Small,32
25-01-2023,Onion Small,33
26-01-2023,Onion Small,33
27-01-2023,Onion Small,33
28-01-2023,Onion Small,34
29-01-2023,Onion Small,34
30-01-2023,Onion Small,34
31-01-2023,Onion Small,37
01-02-2023,Onion Small,37
02-02-2023,Onion Small,37
03-02-2023,Onion Small,40
04-02-2023,Onion Small,40
05-02-2023,Onion Small,40
06-02-2023,Onion Small,39
07-02-2023,Onion Small,39
08-02-2023,Onion Small,39
09-02-2023,Onion Small,38
10-02-2023,Onion Small,38
11-02-2023,Onion Small,38
12-02-2023,Onion Small,50
13-02-2023,Onion Small,50
14-02-2023,Onion Small,50
15-02-2023,Onion Small,50
16-02-2023,Onion Small,48
17-02-2023,Onion Small,48
18-02-2023,Onion Small,48
19-02-2023,Onion Small,56
20-02-2023,Onion Small,56
21-02-2023,Onion Small,56
22-02-2023,Onion Small,56
23-02-2023,Onion Small,49
24-02-2023,Onion Small,49
25-02-2023,Onion Small,54
26-02-2023,Onion Small,54
27-02-2023,Onion Small,54
28-02-2023,Onion Small,54
01-03-2023,Onion Small,54
02-03-2023,Onion Small,54
03-03-2023,Onion Small,54
04-03-2023,Onion Small,55
05-03-2023,Onion Small,55
06-03-2023,Onion Small,55
07-03-2023,Onion Small,55
08-03-2023,Onion Small,55
09-03-2023,Onion Small,55
10-03-2023,Onion Small,54
11-03-2023,Onion Small,54
12-03-2023,Onion Small,54
13-03-2023,Onion Small,54
14-03-2023,Onion Small,48
15-03-2023,Onion Small,48
16-03-2023,Onion Small,48
17-03-2023,Onion Small,48
18-03-2023,Onion Small,48
19-03-2023,Onion Small,55
20-03-2023,Onion Small,55
21-03-2023,Onion Small,55
22-03-2023,Onion Small,55
23-03-2023,Onion Small,55
24-03-2023,Onion Small,53
25-03-2023,Onion Small,53
26-03-2023,Onion Small,56
27-03-2023,Onion Small,56
28-03-2023,Onion Small,56
29-03-2023,Onion Small,55
30-03-2023,Onion Small,55
31-03-2023,Onion Small,55
01-02-2022,Tomato,19
02-02-2022,Tomato,18
03-02-2022,Tomato,18
04-02-2022,Tomato,18
05-02-2022,Tomato,20
06-02-2022,Tomato,20
07-02-2022,Tomato,20
08-02-2022,Tomato,19
09-02-2022,Tomato,19
10-02-2022,Tomato,19
11-02-2022,Tomato,19
12-02-2022,Tomato,18
13-02-2022,Tomato,18
14-02-2022,Tomato,23
15-02-2022,Tomato,23
16-02-2022,Tomato,23
17-02-2022,Tomato,18
18-02-2022,Tomato,18
19-02-2022,Tomato,18
20-02-2022,Tomato,17
21-02-2022,Tomato,17
22-02-2022,Tomato,17
23-02-2022,Tomato,17
24-02-2022,Tomato,17
25-02-2022,Tomato,17
26-02-2022,Tomato,17
27-02-2022,Tomato,17
28-02-2022,Tomato,19
01-03-2022,Tomato,19
02-03-2022,Tomato,19
03-03-2022,Tomato,19
04-03-2022,Tomato,22
05-03-2022,Tomato,22
06-03-2022,Tomato,22
07-03-2022,Tomato,21
08-03-2022,Tomato,21
09-03-2022,Tomato,19
10-03-2022,Tomato,19
11-03-2022,Tomato,19
12-03-2022,Tomato,19
13-03-2022,Tomato,19
14-03-2022,Tomato,18
15-03-2022,Tomato,18
16-03-2022,Tomato,18
17-03-2022,Tomato,21
18-03-2022,Tomato,21
19-03-2022,Tomato,21
20-03-2022,Tomato,18
21-03-2022,Tomato,18
22-03-2022,Tomato,14
23-03-2022,Tomato,14
24-03-2022,Tomato,14
25-03-2022,Tomato,13
26-03-2022,Tomato,13
27-03-2022,Tomato,13
28-03-2022,Tomato,16
29-03-2022,Tomato,16
30-03-2022,Tomato,16
31-03-2022,Tomato,16
01-04-2022,Tomato,13
02-04-2022,Tomato,13
03-04-2022,Tomato,13
04-04-2022,Tomato,10
05-04-2022,Tomato,10
06-04-2022,Tomato,10
07-04-2022,Tomato,14
08-04-2022,Tomato,14
09-04-2022,Tomato,14
10-04-2022,Tomato,17
11-04-2022,Tomato,17
12-04-2022,Tomato,17
13-04-2022,Tomato,18
14-04-2022,Tomato,18
15-04-2022,Tomato,18
16-04-2022,Tomato,18
17-04-2022,Tomato,18
18-04-2022,Tomato,18
19-04-2022,Tomato,18
20-04-2022,Tomato,18
21-04-2022,Tomato,18
22-04-2022,Tomato,18
23-04-2022,Tomato,18
24-04-2022,Tomato,10
25-04-2022,Tomato,10
26-04-2022,Tomato,10
27-04-2022,Tomato,40
28-04-2022,Tomato,40
29-04-2022,Tomato,40
30-04-2022,Tomato,55
